== testcases/dectest/base.decTest: tests=1170, success=0, failure=0, skip=1170
== testcases/dectest/ddOr.decTest: tests=237, success=0, failure=0, skip=237
== testcases/dectest/ddPlus.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/ddQuantize.decTest: tests=683, success=0, failure=0, skip=683
== testcases/dectest/ddReduce.decTest: tests=134, success=0, failure=0, skip=134
== testcases/dectest/ddRemainder.decTest: tests=505, success=0, failure=0, skip=505
== testcases/dectest/ddRemainderNear.decTest: tests=529, success=0, failure=0, skip=529
== testcases/dectest/ddRotate.decTest: tests=212, success=0, failure=0, skip=212
== testcases/dectest/ddSameQuantum.decTest: tests=333, success=0, failure=0, skip=333
== testcases/dectest/ddScaleB.decTest: tests=184, success=0, failure=0, skip=184
== testcases/dectest/ddShift.decTest: tests=212, success=0, failure=0, skip=212
== testcases/dectest/ddSubtract.decTest: tests=516, success=0, failure=0, skip=516
== testcases/dectest/ddToIntegral.decTest: tests=178, success=0, failure=0, skip=178
== testcases/dectest/ddXor.decTest: tests=278, success=0, failure=0, skip=278
== testcases/dectest/decDouble.decTest: tests=14430, success=0, failure=0, skip=14430
== testcases/dectest/dqAbs.decTest: tests=75, success=0, failure=0, skip=75
== testcases/dectest/dqAdd.decTest: tests=1012, success=0, failure=0, skip=1012
== testcases/dectest/dqAnd.decTest: tests=357, success=0, failure=0, skip=357
== testcases/dectest/dqBase.decTest: tests=928, success=0, failure=0, skip=928
== testcases/dectest/dqCanonical.decTest: tests=244, success=0, failure=0, skip=244
== testcases/dectest/dqClass.decTest: tests=42, success=0, failure=0, skip=42
== testcases/dectest/dqCompare.decTest: tests=659, success=0, failure=0, skip=659
== testcases/dectest/dqCompareSig.decTest: tests=559, success=0, failure=0, skip=559
== testcases/dectest/dqCompareTotal.decTest: tests=613, success=0, failure=0, skip=613
== testcases/dectest/dqCompareTotalMag.decTest: tests=613, success=0, failure=0, skip=613
== testcases/dectest/dqCopy.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/dqCopyAbs.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/dqCopyNegate.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/dqCopySign.decTest: tests=107, success=0, failure=0, skip=107
== testcases/dectest/dqDivide.decTest: tests=688, success=0, failure=0, skip=688
== testcases/dectest/dqDivideInt.decTest: tests=374, success=0, failure=0, skip=374
== testcases/dectest/dqEncode.decTest: tests=368, success=0, failure=0, skip=368
== testcases/dectest/dqFMA.decTest: tests=1451, success=0, failure=0, skip=1451
== testcases/dectest/dqInvert.decTest: tests=193, success=0, failure=0, skip=193
== testcases/dectest/dqLogB.decTest: tests=109, success=0, failure=0, skip=109
== testcases/dectest/dqMax.decTest: tests=257, success=0, failure=0, skip=257
== testcases/dectest/dqMaxMag.decTest: tests=243, success=0, failure=0, skip=243
== testcases/dectest/dqMin.decTest: tests=247, success=0, failure=0, skip=247
== testcases/dectest/dqMinMag.decTest: tests=233, success=0, failure=0, skip=233
== testcases/dectest/dqMinus.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/dqMultiply.decTest: tests=473, success=0, failure=0, skip=473
== testcases/dectest/dqNextMinus.decTest: tests=84, success=0, failure=0, skip=84
== testcases/dectest/dqNextPlus.decTest: tests=84, success=0, failure=0, skip=84
== testcases/dectest/dqNextToward.decTest: tests=304, success=0, failure=0, skip=304
== testcases/dectest/dqOr.decTest: tests=341, success=0, failure=0, skip=341
== testcases/dectest/dqPlus.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/dqQuantize.decTest: tests=686, success=0, failure=0, skip=686
== testcases/dectest/dqReduce.decTest: tests=134, success=0, failure=0, skip=134
== testcases/dectest/dqRemainder.decTest: tests=500, success=0, failure=0, skip=500
== testcases/dectest/dqRemainderNear.decTest: tests=530, success=0, failure=0, skip=530
== testcases/dectest/dqRotate.decTest: tests=248, success=0, failure=0, skip=248
== testcases/dectest/dqSameQuantum.decTest: tests=333, success=0, failure=0, skip=333
== testcases/dectest/dqScaleB.decTest: tests=202, success=0, failure=0, skip=202
== testcases/dectest/dqShift.decTest: tests=248, success=0, failure=0, skip=248
== testcases/dectest/dqSubtract.decTest: tests=520, success=0, failure=0, skip=520
== testcases/dectest/dqToIntegral.decTest: tests=178, success=0, failure=0, skip=178
== testcases/dectest/dqXor.decTest: tests=348, success=0, failure=0, skip=348
== testcases/dectest/decQuad.decTest: tests=14800, success=0, failure=0, skip=14800
== testcases/dectest/randombound32.decTest: tests=2400, success=0, failure=0, skip=2400
== testcases/dectest/testall.decTest: tests=65127, success=0, failure=0, skip=65127
